Time (hour),DO (mol/L),NO3 (mol/L),NH4+ (mol/L),H+ (mol/L),pH
0.25,0.009525516,0.000368268,0.000683288,2.10E-08,7.67735134
0.5,0.093197483,0.000100069,0.002190948,6.14E-09,8.211862236
0.75,0.106056118,0.000122404,0.001568451,5.24E-09,8.280342774
1,0.093734239,0.000144778,0.001565328,4.18E-09,8.378498449
1.25,0.11506945,0.000239023,0.001414998,4.80E-09,8.318465852
1.5,0.135651829,0.000274194,0.000999316,3.87E-09,8.412223983
1.75,0.128344846,0.000307864,0.000684511,3.46E-09,8.461380072
2,0.144264049,0.000476377,0.000452818,4.07E-09,8.390443256
2.25,0.181860636,0.000724785,0.000176413,4.57E-09,8.33969586
2.5,1.116494211,0.000728029,5.64E-06,4.68E-09,8.329622425
2.75,3.270475417,0.000888329,1.33E-06,3.58E-09,8.446473741
3,3.718806032,0.000765322,2.10E-06,3.00E-09,8.5224214
3.25,3.056216271,0.000872552,2.21E-06,2.79E-09,8.553652158
3.5,3.668965155,0.000981643,2.43E-06,3.09E-09,8.510582552
3.75,3.117010491,0.000777506,2.10E-06,2.71E-09,8.566947013
4,3.433462526,0.000826698,2.57E-06,2.74E-09,8.562316059
4.25,3.578056223,0.001015752,2.26E-06,2.61E-09,8.583754859
4.5,3.499040777,0.000913722,2.56E-06,2.66E-09,8.574413943
4.75,3.738690574,0.000947622,2.51E-06,2.40E-09,8.619885706
5,2.886643209,0.00100525,2.28E-06,2.34E-09,8.631062011
5.25,4.144591217,0.00107527,2.24E-06,2.51E-09,8.600085556
5.5,3.855204786,0.001190903,2.21E-06,2.61E-09,8.583585435
5.75,3.411087463,0.001167503,2.34E-06,2.39E-09,8.621928513
6,3.556847461,0.001241146,2.18E-06,2.60E-09,8.585646557
6.25,3.492441026,0.001324693,2.26E-06,2.34E-09,8.629987348
6.5,2.995908436,0.001281196,2.53E-06,2.41E-09,8.617541247
6.75,2.939142645,0.001287639,2.22E-06,2.33E-09,8.632410761
7,3.459958455,0.001397861,2.20E-06,2.49E-09,8.603056218
7.25,3.980492122,0.001505341,2.52E-06,2.66E-09,8.574379621
7.5,3.143523749,0.001475826,2.92E-06,2.68E-09,8.572049758
7.75,3.599388124,0.001458986,2.33E-06,2.42E-09,8.615343936
8,3.518273512,0.001326001,2.77E-06,2.37E-09,8.625067189
8.25,3.256816581,0.001337768,2.48E-06,2.34E-09,8.631606001
8.5,3.572923231,0.001470028,2.35E-06,2.03E-09,8.693043841
8.75,3.058627129,0.001278351,1.89E-06,2.39E-09,8.622044847
9,3.836711137,0.001543296,2.26E-06,2.43E-09,8.613688622
9.25,3.41932463,0.0016792,2.24E-06,2.60E-09,8.585623009
9.5,3.036087657,0.001685473,2.13E-06,3.02E-09,8.519645696
9.75,4.097500462,0.00144323,2.28E-06,2.32E-09,8.633584034
10,2.807067453,0.001552873,2.01E-06,2.51E-09,8.601116843
10.25,3.615862409,0.001932318,2.55E-06,2.67E-09,8.573474122
10.5,3.279297268,0.001732211,1.60E-06,2.53E-09,8.597090783
10.75,3.548871594,0.002098327,2.42E-06,2.56E-09,8.591236846
11,4.047284342,0.002186278,2.32E-06,2.63E-09,8.579953718
11.25,3.916677723,0.001653171,2.26E-06,2.16E-09,8.66460681
11.5,3.897001124,0.001873429,2.40E-06,2.07E-09,8.683852427
11.75,3.70643579,0.002037995,2.00E-06,2.74E-09,8.561900052
12,3.510043632,0.001616383,2.29E-06,2.60E-09,8.584350469
12.25,4.127994872,0.002034136,1.97E-06,2.47E-09,8.607344294
12.5,3.753491459,0.0018231,1.67E-06,2.47E-09,8.607926442
12.75,3.826811593,0.002237607,2.19E-06,2.34E-09,8.631323375
13,3.793168716,0.002308154,2.14E-06,3.00E-09,8.523333355
13.25,4.048198643,0.002596159,2.19E-06,2.56E-09,8.591128901
13.5,3.524209006,0.001874139,2.15E-06,2.73E-09,8.564047588
13.75,4.264192599,0.001892136,2.12E-06,2.05E-09,8.688794646
14,3.540839315,0.002252512,2.25E-06,2.55E-09,8.593459155
14.25,3.882949411,0.002425295,2.34E-06,2.30E-09,8.637504145
14.5,4.001316569,0.002229762,2.15E-06,2.42E-09,8.617026644
14.75,3.310280485,0.002695039,2.09E-06,2.72E-09,8.565916483
15,3.724633472,0.001869127,2.44E-06,2.49E-09,8.604397345
15.25,3.900349691,0.002564786,1.77E-06,2.68E-09,8.572177909
15.5,3.156747197,0.002610719,2.41E-06,2.34E-09,8.630385654
15.75,3.665095574,0.002818869,1.92E-06,3.05E-09,8.516189214
16,4.177879051,0.002562935,2.18E-06,2.65E-09,8.57613376
16.25,3.745347098,0.00312293,2.16E-06,2.31E-09,8.637007624
16.5,4.497450955,0.002547145,2.14E-06,2.16E-09,8.666296393
16.75,4.666549432,0.002558643,1.64E-06,2.08E-09,8.682358288
17,3.648029923,0.002574219,2.22E-06,2.62E-09,8.582522654
17.25,4.347799497,0.002586034,2.08E-06,1.89E-09,8.722791351
17.5,3.852338289,0.002618185,1.90E-06,2.29E-09,8.639641064
17.75,4.102279247,0.002709676,1.96E-06,2.61E-09,8.58402211
18,3.812437308,0.002477585,2.29E-06,2.51E-09,8.600193816
18.25,3.568112116,0.002464846,1.88E-06,2.51E-09,8.600986397
18.5,4.429739417,0.002708383,1.70E-06,2.67E-09,8.573966706
18.75,3.911150423,0.002783547,2.35E-06,2.39E-09,8.622013681
19,3.96997039,0.003149896,2.07E-06,2.67E-09,8.572866687
19.25,3.826695174,0.002527683,2.35E-06,2.50E-09,8.602296324
19.5,4.34025831,0.003178886,2.01E-06,2.56E-09,8.592160203
19.75,4.061560446,0.002591831,1.63E-06,2.61E-09,8.582666298
20,3.127418966,0.003299335,1.87E-06,2.66E-09,8.575292037
20.25,3.889229583,0.00281104,2.14E-06,2.07E-09,8.68350415
20.5,3.474267065,0.002756868,2.21E-06,2.26E-09,8.646776393
20.75,4.204915036,0.002490306,1.61E-06,2.65E-09,8.576139459
21,4.444508974,0.00311187,2.03E-06,2.63E-09,8.580204652
21.25,3.907089255,0.003193857,2.51E-06,2.23E-09,8.650784413
21.5,4.047543647,0.002859498,1.82E-06,2.67E-09,8.573857773
21.75,4.127917316,0.002993759,2.18E-06,2.52E-09,8.598529276
22,4.457259925,0.003136963,2.19E-06,2.12E-09,8.674071784
22.25,4.162206585,0.002810641,2.17E-06,2.87E-09,8.54286736
22.5,4.190045858,0.003347475,2.41E-06,2.45E-09,8.611625879
22.75,4.377567686,0.003089914,1.77E-06,2.55E-09,8.593709047
23,3.970902506,0.003404277,2.08E-06,2.40E-09,8.620017896
23.25,4.36612303,0.003412915,2.08E-06,2.73E-09,8.564383405
23.5,3.867456995,0.003213877,2.00E-06,2.75E-09,8.560583122
23.75,4.375865862,0.003292494,1.98E-06,2.42E-09,8.616583495
24,3.879354397,0.003904409,2.21E-06,2.63E-09,8.580320858
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,